Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HY,AY,HR,AR,Season,HomeRank,AwayRank,HomePoints,AwayPoints,HomeW,AwayW,HomeGD,AwayGD,HomeGP,AwayGP,Sum_HomeY,Sum_AwayY,Sum_HomeR,Sum_AwayR,Stadium,Home_LastRank,Away_LastRank,Home_L5_GS,Home_L5_GC,Home_L5_Form_Pts,Away_L5_GS,Away_L5_GC,Away_L5_Form_Pts,Rank_Diff,LastRank_Diff,Form_Diff,GD_Diff,HomePPG,AwayPPG,PPG_Diff,HomeGDpg,AwayGDpg,GDpg_Diff,WeatherSeason
2026-05-11,20:15,Tondela,Moreirense,2.0,0.0,H,1.0,0.0,H,1.0,3.0,0.0,1.0,25-26,17,8,25,42,5,12,-28.0,-10.0,32,32,88.0,82.0,3.0,3.0,15,19.0,10.0,1.0,1.6,20.0,1.2,1.6,26.0,9,9.0,-6.0,-18.0,0.78125,1.3125,-0.53125,-0.875,-0.3125,-0.5625,1
2026-05-11,20:15,Santa Clara,Nacional,2.0,0.0,H,1.0,0.0,H,1.0,2.0,0.0,0.0,25-26,13,14,33,31,8,8,-10.0,-8.0,32,32,94.0,95.0,4.0,7.0,19,5.0,14.0,1.2,1.8,20.0,1.2,0.8,24.0,-1,-9.0,-4.0,-2.0,1.03125,0.96875,0.0625,-0.3125,-0.25,-0.0625,1
2026-05-11,20:15,Rio Ave,Sp Lisbon,1.0,4.0,A,1.0,2.0,A,5.0,2.0,2.0,0.0,25-26,13,2,35,76,8,23,-19.0,59.0,32,32,84.0,70.0,4.0,3.0,4,12.0,1.0,1.0,1.2,14.0,2.0,1.2,25.0,11,11.0,-11.0,-78.0,1.09375,2.375,-1.28125,-0.59375,1.84375,-2.4375,1
2026-05-11,20:15,Guimaraes,Casa Pia,0.0,1.0,A,0.0,0.0,D,2.0,1.0,0.0,0.0,25-26,7,17,42,26,12,5,-9.0,-27.0,32,32,75.0,94.0,3.0,4.0,8,6.0,9.0,2.0,1.2,26.0,0.4,1.4,2.0,-10,-3.0,24.0,18.0,1.3125,0.8125,0.5,-0.28125,-0.84375,0.5625,1
2026-05-11,20:15,Gil Vicente,Arouca,1.0,3.0,A,0.0,0.0,D,2.0,1.0,0.0,0.0,25-26,6,12,50,36,13,10,14.0,-21.0,32,32,79.0,93.0,4.0,10.0,20,13.0,11.0,1.4,0.8,22.0,1.4,1.4,17.0,-6,2.0,5.0,35.0,1.5625,1.125,0.4375,0.4375,-0.65625,1.09375,1
2026-05-11,20:15,Estrela,Famalicao,0.0,0.0,D,0.0,0.0,D,3.0,1.0,0.0,0.0,25-26,16,5,28,52,6,14,-18.0,12.0,32,32,82.0,86.0,4.0,2.0,26,15.0,7.0,0.6,1.8,0.0,1.6,1.4,23.0,11,8.0,-23.0,-30.0,0.875,1.625,-0.75,-0.5625,0.375,-0.9375,1
2026-05-11,20:15,Benfica,Sp Braga,2.0,2.0,D,0.0,0.0,D,1.0,4.0,0.0,0.0,25-26,3,4,76,57,22,16,47.0,28.0,32,32,62.0,71.0,4.0,3.0,6,2.0,4.0,2.2,1.0,33.0,1.2,1.0,19.0,-1,-2.0,14.0,19.0,2.375,1.78125,0.59375,1.46875,0.875,0.59375,1
2026-05-10,20:30,Alverca,Estoril,1.0,1.0,D,1.0,0.0,H,3.0,2.0,0.0,0.0,25-26,10,9,38,38,10,10,-16.0,-1.0,32,32,69.0,78.0,4.0,0.0,28,19.0,8.0,1.4,1.0,21.0,0.8,1.8,5.0,1,11.0,16.0,-15.0,1.1875,1.1875,0.0,-0.5,-0.03125,-0.46875,1
2026-05-10,18:00,AVS,Porto,3.0,1.0,H,1.0,0.0,H,2.0,2.0,0.0,1.0,25-26,18,1,17,85,2,27,-42.0,49.0,32,32,72.0,77.0,5.0,2.0,27,17.0,3.0,1.2,1.6,24.0,2.0,0.8,43.0,17,14.0,-19.0,-91.0,0.53125,2.65625,-2.125,-1.3125,1.53125,-2.84375,1
2026-05-04,20:15,Sp Lisbon,Guimaraes,5.0,1.0,H,3.0,0.0,H,0.0,3.0,0.0,0.0,25-26,3,7,73,42,22,12,55.0,-5.0,31,31,70.0,72.0,3.0,3.0,9,1.0,6.0,1.8,1.4,18.0,1.8,0.8,36.0,-4,-5.0,-18.0,60.0,2.3548387096774195,1.3548387096774193,1.0000000000000002,1.7741935483870968,-0.16129032258064516,1.935483870967742,1
